fxx,valid_utc,valid_cdt,cape_jkg,srh_0_3km_m2s2,refc_dbz
0,2026-07-19 12:00,2026-07-19 07:00,40.0,39.5,-10.0
1,2026-07-19 13:00,2026-07-19 08:00,10.0,49.400001525878906,-10.0
2,2026-07-19 14:00,2026-07-19 09:00,10.0,51.5,-10.0
3,2026-07-19 15:00,2026-07-19 10:00,0.0,63.099998474121094,-10.0
4,2026-07-19 16:00,2026-07-19 11:00,0.0,62.900001525878906,-10.0
5,2026-07-19 17:00,2026-07-19 12:00,0.0,57.79999923706055,-10.0
6,2026-07-19 18:00,2026-07-19 13:00,0.0,73.4000015258789,-10.0
7,2026-07-19 19:00,2026-07-19 14:00,0.0,73.5,-10.0
8,2026-07-19 20:00,2026-07-19 15:00,0.0,72.9000015258789,-10.0
9,2026-07-19 21:00,2026-07-19 16:00,0.0,67.0999984741211,-10.0
10,2026-07-19 22:00,2026-07-19 17:00,0.0,68.69999694824219,-10.0
11,2026-07-19 23:00,2026-07-19 18:00,0.0,70.0,-10.0
12,2026-07-20 00:00,2026-07-19 19:00,0.0,66.0,-10.0
13,2026-07-20 01:00,2026-07-19 20:00,0.0,67.0,-10.0
14,2026-07-20 02:00,2026-07-19 21:00,0.0,59.0,-10.0
15,2026-07-20 03:00,2026-07-19 22:00,0.0,53.0,-10.0
16,2026-07-20 04:00,2026-07-19 23:00,0.0,51.0,-10.0
17,2026-07-20 05:00,2026-07-20 00:00,0.0,52.0,-10.0
18,2026-07-20 06:00,2026-07-20 01:00,0.0,57.0,-10.0
19,2026-07-20 07:00,2026-07-20 02:00,0.0,58.0,-10.0
20,2026-07-20 08:00,2026-07-20 03:00,0.0,60.0,-10.0
21,2026-07-20 09:00,2026-07-20 04:00,0.0,71.0,-10.0
22,2026-07-20 10:00,2026-07-20 05:00,0.0,72.0,-10.0
23,2026-07-20 11:00,2026-07-20 06:00,0.0,97.0,-10.0
24,2026-07-20 12:00,2026-07-20 07:00,0.0,83.0,-10.0
25,2026-07-20 13:00,2026-07-20 08:00,0.0,71.0,-10.0
26,2026-07-20 14:00,2026-07-20 09:00,0.0,56.0,-10.0
27,2026-07-20 15:00,2026-07-20 10:00,0.0,54.29999923706055,-10.0
28,2026-07-20 16:00,2026-07-20 11:00,0.0,52.400001525878906,-10.0
29,2026-07-20 17:00,2026-07-20 12:00,0.0,37.0,-10.0
30,2026-07-20 18:00,2026-07-20 13:00,0.0,50.0,-10.0
31,2026-07-20 19:00,2026-07-20 14:00,0.0,67.0,-10.0
32,2026-07-20 20:00,2026-07-20 15:00,0.0,112.0,-10.0
33,2026-07-20 21:00,2026-07-20 16:00,40.0,93.0,-10.0
34,2026-07-20 22:00,2026-07-20 17:00,110.0,112.0,-10.0
35,2026-07-20 23:00,2026-07-20 18:00,310.0,166.0,-10.0
36,2026-07-21 00:00,2026-07-20 19:00,630.0,244.0,-10.0
37,2026-07-21 01:00,2026-07-20 20:00,930.0,325.0,-10.0
38,2026-07-21 02:00,2026-07-20 21:00,840.0,341.0,-10.0
39,2026-07-21 03:00,2026-07-20 22:00,1150.0,492.0,-10.0
40,2026-07-21 04:00,2026-07-20 23:00,1430.0,386.0,12.25
41,2026-07-21 05:00,2026-07-21 00:00,1600.0,255.0,32.9375
42,2026-07-21 06:00,2026-07-21 01:00,300.0,38.0,45.9375
43,2026-07-21 07:00,2026-07-21 02:00,50.0,110.0,35.0
44,2026-07-21 08:00,2026-07-21 03:00,30.0,337.0,26.8125
45,2026-07-21 09:00,2026-07-21 04:00,120.0,58.0,17.0
46,2026-07-21 10:00,2026-07-21 05:00,20.0,325.0,30.1875
47,2026-07-21 11:00,2026-07-21 06:00,100.0,189.0,-10.0
48,2026-07-21 12:00,2026-07-21 07:00,230.0,163.0,-10.0
